timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2023-02-06 00:00:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,7.77,15.444087301587302,23.31,35.82163690476191,18.022050336467185,20.515
2023-02-06 00:10:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,7.04,15.444087301587302,21.12,35.82163690476191,16.328858992114412,20.515
2023-02-06 00:20:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.78,15.444087301587302,20.34,35.82163690476191,15.725804540701096,20.515
2023-02-06 00:30:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.58,15.444087301587302,19.740000000000002,35.82163690476191,15.26191650115239,20.515
2023-02-06 00:40:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,7.89,15.444087301587302,23.669999999999998,35.82163690476191,18.300383160196407,20.515
2023-02-06 00:50:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,11.77,15.444087301587302,35.31,35.82163690476191,27.29981112744128,20.515
2023-02-06 01:00:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,10.7,15.444087301587302,32.099999999999994,35.82163690476191,24.81801011585571,20.515
2023-02-06 01:10:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.48,15.444087301587302,19.44,35.82163690476191,15.029972481378039,20.515
2023-02-06 01:20:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.38,15.444087301587302,19.14,35.82163690476191,14.798028461603685,20.515
2023-02-06 01:30:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.38,15.444087301587302,19.14,35.82163690476191,14.798028461603685,20.515
2023-02-06 01:40:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.37,15.444087301587302,19.11,35.82163690476191,14.77483405962625,20.515
2023-02-06 01:50:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.62,15.444087301587302,19.86,35.82163690476191,15.354694109062132,20.515
2023-02-06 02:00:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.64,15.444087301587302,19.919999999999998,35.82163690476191,15.401082913017001,20.515
2023-02-06 02:10:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.15,15.444087301587302,18.450000000000003,35.82163690476191,14.264557216122675,20.515
2023-02-06 02:20:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.15,15.444087301587302,18.450000000000003,35.82163690476191,14.264557216122675,20.515
2023-02-06 02:30:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.3,15.444087301587302,18.9,35.82163690476191,14.612473245784203,20.515
2023-02-06 02:40:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,6.37,15.444087301587302,19.11,35.82163690476191,14.77483405962625,20.515
2023-02-06 02:50:00,721187 - REDBROOKS - HILLFIELD SOLIHULL,L1 Active Power,8.18,15.444087301587302,24.54,35.82163690476191,18.97302081754203,20.515
