timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2022-12-12 00:00:00,724253 - LEIGHAM DRIVE -,L1 Active Power,21.5,22.359375,43.91,43.10753968253966,41.450716005013675,26.2125
2022-12-12 00:10:00,724253 - LEIGHAM DRIVE -,L1 Active Power,20.68,22.359375,43.91,43.10753968253966,39.86980497598525,26.2125
2022-12-12 00:20:00,724253 - LEIGHAM DRIVE -,L1 Active Power,20.96,22.359375,43.91,43.10753968253966,40.409628254190075,26.2125
2022-12-12 00:30:00,724253 - LEIGHAM DRIVE -,L1 Active Power,20.22,22.359375,43.91,43.10753968253966,38.98295244750588,26.2125
2022-12-12 00:40:00,724253 - LEIGHAM DRIVE -,L1 Active Power,20.85,22.359375,43.91,43.10753968253966,40.19755482346675,26.2125
2022-12-12 00:50:00,724253 - LEIGHAM DRIVE -,L1 Active Power,19.02,22.359375,43.91,43.10753968253966,36.66942411234233,26.2125
2022-12-12 01:00:00,724253 - LEIGHAM DRIVE -,L1 Active Power,19.26,22.359375,43.91,43.10753968253966,37.13212977937504,26.2125
2022-12-12 01:10:00,724253 - LEIGHAM DRIVE -,L1 Active Power,21.48,22.359375,43.91,43.10753968253966,41.41215719942762,26.2125
2022-12-12 01:20:00,724253 - LEIGHAM DRIVE -,L1 Active Power,20.37,22.359375,43.91,43.10753968253966,39.27214348940133,26.2125
2022-12-12 01:30:00,724253 - LEIGHAM DRIVE -,L1 Active Power,18.34,22.359375,43.91,43.10753968253966,35.358424722416316,26.2125
2022-12-12 01:40:00,724253 - LEIGHAM DRIVE -,L1 Active Power,16.44,22.359375,43.91,43.10753968253966,31.695338191740692,26.2125
2022-12-12 01:50:00,724253 - LEIGHAM DRIVE -,L1 Active Power,15.77,22.359375,43.91,43.10753968253966,30.403618204607703,26.2125
2022-12-12 02:00:00,724253 - LEIGHAM DRIVE -,L1 Active Power,16.58,22.359375,43.91,43.10753968253966,31.9652498308431,26.2125
2022-12-12 02:10:00,724253 - LEIGHAM DRIVE -,L1 Active Power,18.7,22.359375,43.91,43.10753968253966,36.05248322296538,26.2125
2022-12-12 02:20:00,724253 - LEIGHAM DRIVE -,L1 Active Power,12.16,22.359375,36.480000000000004,43.10753968253966,23.443753796324014,26.2125
2022-12-12 02:30:00,724253 - LEIGHAM DRIVE -,L1 Active Power,14.15,22.359375,42.45,43.10753968253966,27.280354952136907,26.2125
2022-12-12 02:40:00,724253 - LEIGHAM DRIVE -,L1 Active Power,12.97,22.359375,38.910000000000004,43.10753968253966,25.005385422559414,26.2125
2022-12-12 02:50:00,724253 - LEIGHAM DRIVE -,L1 Active Power,12.13,22.359375,36.39,43.10753968253966,23.385915587944925,26.2125
2022-12-12 03:00:00,724253 - LEIGHAM DRIVE -,L1 Active Power,14.53,22.359375,43.589999999999996,43.10753968253966,28.012972258272033,26.2125
2022-12-12 03:10:00,724253 - LEIGHAM DRIVE -,L1 Active Power,12.75,22.359375,38.25,43.10753968253966,24.581238561112762,26.2125
2022-12-12 03:20:00,724253 - LEIGHAM DRIVE -,L1 Active Power,11.94,22.359375,35.82,43.10753968253966,23.019606934877363,26.2125
2022-12-12 03:30:00,724253 - LEIGHAM DRIVE -,L1 Active Power,12.53,22.359375,37.589999999999996,43.10753968253966,24.157091699666108,26.2125
2022-12-12 03:40:00,724253 - LEIGHAM DRIVE -,L1 Active Power,13.48,22.359375,40.44,43.10753968253966,25.988634965003925,26.2125
2022-12-12 03:50:00,724253 - LEIGHAM DRIVE -,L1 Active Power,15.5,22.359375,43.91,43.10753968253966,29.883074329195907,26.2125
2022-12-12 04:00:00,724253 - LEIGHAM DRIVE -,L1 Active Power,12.71,22.359375,38.13,43.10753968253966,24.504120949940646,26.2125
2022-12-12 04:10:00,724253 - LEIGHAM DRIVE -,L1 Active Power,12.14,22.359375,36.42,43.10753968253966,23.405194990737954,26.2125
2022-12-12 04:20:00,724253 - LEIGHAM DRIVE -,L1 Active Power,12.17,22.359375,36.51,43.10753968253966,23.463033199117042,26.2125
2022-12-12 04:30:00,724253 - LEIGHAM DRIVE -,L1 Active Power,12.79,22.359375,38.37,43.10753968253966,24.65835617228488,26.2125
2022-12-12 04:40:00,724253 - LEIGHAM DRIVE -,L1 Active Power,12.82,22.359375,38.46,43.10753968253966,24.716194380663968,26.2125
2022-12-12 04:50:00,724253 - LEIGHAM DRIVE -,L1 Active Power,14.25,22.359375,42.75,43.10753968253966,27.473148980067204,26.2125
2022-12-12 05:00:00,724253 - LEIGHAM DRIVE -,L1 Active Power,15.81,22.359375,43.91,43.10753968253966,30.480735815779823,26.2125
2022-12-12 05:10:00,724253 - LEIGHAM DRIVE -,L1 Active Power,17.32,22.359375,43.91,43.10753968253966,33.391925637527294,26.2125
2022-12-12 05:20:00,724253 - LEIGHAM DRIVE -,L1 Active Power,13.04,22.359375,39.12,43.10753968253966,25.14034124211062,26.2125
