timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2022-12-12 00:00:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.17,3.2205158730158727,3.51,8.509980158730158,3.0916403390958265,4.185
2022-12-12 00:10:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.29,3.2205158730158727,3.87,8.509980158730158,3.408731655926168,4.185
2022-12-12 00:20:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.12,3.2205158730158727,3.3600000000000003,8.509980158730158,2.959518957083185,4.185
2022-12-12 00:30:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.24,3.2205158730158727,3.7199999999999998,8.509980158730158,3.2766102739135254,4.185
2022-12-12 00:40:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.22,3.2205158730158727,3.66,8.509980158730158,3.2237617211084686,4.185
2022-12-12 00:50:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.08,3.2205158730158727,3.24,8.509980158730158,2.853821851473071,4.185
2022-12-12 01:00:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,0.92,3.2205158730158727,2.7600000000000002,8.509980158730158,2.431033429032616,4.185
2022-12-12 01:10:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.29,3.2205158730158727,3.87,8.509980158730158,3.408731655926168,4.185
2022-12-12 01:20:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.26,3.2205158730158727,3.7800000000000002,8.509980158730158,3.3294588267185827,4.185
2022-12-12 01:30:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.39,3.2205158730158727,4.17,8.509980158730158,3.672974419951452,4.185
2022-12-12 01:40:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.28,3.2205158730158727,3.84,8.509980158730158,3.3823073795236396,4.185
2022-12-12 01:50:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.02,3.2205158730158727,3.06,8.509980158730158,2.6952761930579,4.185
2022-12-12 02:00:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.33,3.2205158730158727,3.99,8.509980158730158,3.5144287615362817,4.185
2022-12-12 02:10:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.22,3.2205158730158727,3.66,8.509980158730158,3.2237617211084686,4.185
2022-12-12 02:20:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.34,3.2205158730158727,4.0200000000000005,8.509980158730158,3.54085303793881,4.185
2022-12-12 02:30:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.43,3.2205158730158727,4.29,8.509980158730158,3.7786715255615655,4.185
2022-12-12 02:40:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,0.77,3.2205158730158727,2.31,8.509980158730158,2.0346692829946895,4.185
2022-12-12 02:50:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.32,3.2205158730158727,3.96,8.509980158730158,3.4880044851337533,4.185
2022-12-12 03:00:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.29,3.2205158730158727,3.87,8.509980158730158,3.408731655926168,4.185
2022-12-12 03:10:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.28,3.2205158730158727,3.84,8.509980158730158,3.3823073795236396,4.185
2022-12-12 03:20:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,0.82,3.2205158730158727,2.46,8.509980158730158,2.166790665007331,4.185
2022-12-12 03:30:00,730202 - 55 MILESTONE DRIVE - WEST HAGLEY,L1 Active Power,1.28,3.2205158730158727,3.84,8.509980158730158,3.3823073795236396,4.185
