timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2023-02-06 00:00:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-7.77,-11.803710317460316,-23.31,-35.41113095238095,-23.31,-7.887499999999999
2023-02-06 00:10:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-8.88,-11.803710317460316,-26.64,-35.41113095238095,-26.64,-7.887499999999999
2023-02-06 00:20:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-8.02,-11.803710317460316,-24.06,-35.41113095238095,-24.06,-7.887499999999999
2023-02-06 00:30:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-7.66,-11.803710317460316,-22.98,-35.41113095238095,-22.98,-7.887499999999999
2023-02-06 00:40:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-7.51,-11.803710317460316,-22.53,-35.41113095238095,-22.53,-7.887499999999999
2023-02-06 00:50:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-10.23,-11.803710317460316,-30.69,-35.41113095238095,-30.69,-7.887499999999999
2023-02-06 01:00:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-6.79,-11.803710317460316,-20.37,-35.41113095238095,-20.37,-7.887499999999999
2023-02-06 01:10:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-7.07,-11.803710317460316,-21.21,-35.41113095238095,-21.21,-7.887499999999999
2023-02-06 01:20:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-6.38,-11.803710317460316,-19.14,-35.41113095238095,-19.14,-7.887499999999999
2023-02-06 01:30:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-5.37,-11.803710317460316,-16.11,-35.41113095238095,-16.11,-7.887499999999999
2023-02-06 01:40:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-6.18,-11.803710317460316,-18.54,-35.41113095238095,-18.54,-7.887499999999999
2023-02-06 01:50:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-9.96,-11.803710317460316,-29.880000000000003,-35.41113095238095,-29.880000000000003,-7.887499999999999
2023-02-06 02:00:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-12.53,-11.803710317460316,-37.589999999999996,-35.41113095238095,-37.589999999999996,-7.887499999999999
2023-02-06 02:10:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-13.64,-11.803710317460316,-40.92,-35.41113095238095,-40.92,-7.887499999999999
2023-02-06 02:20:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-14.2,-11.803710317460316,-42.599999999999994,-35.41113095238095,-42.599999999999994,-7.887499999999999
2023-02-06 02:30:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-13.63,-11.803710317460316,-40.89,-35.41113095238095,-40.89,-7.887499999999999
2023-02-06 02:40:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-13.34,-11.803710317460316,-40.019999999999996,-35.41113095238095,-40.019999999999996,-7.887499999999999
2023-02-06 02:50:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-14.5,-11.803710317460316,-43.5,-35.41113095238095,-43.5,-7.887499999999999
2023-02-06 03:00:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-13.14,-11.803710317460316,-39.42,-35.41113095238095,-39.42,-7.887499999999999
2023-02-06 03:10:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-13.75,-11.803710317460316,-41.25,-35.41113095238095,-41.25,-7.887499999999999
2023-02-06 03:20:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-12.16,-11.803710317460316,-36.480000000000004,-35.41113095238095,-36.480000000000004,-7.887499999999999
2023-02-06 03:30:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-14.5,-11.803710317460316,-43.5,-35.41113095238095,-43.5,-7.887499999999999
2023-02-06 03:40:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-12.99,-11.803710317460316,-38.97,-35.41113095238095,-38.97,-7.887499999999999
2023-02-06 03:50:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-13.16,-11.803710317460316,-39.480000000000004,-35.41113095238095,-39.480000000000004,-7.887499999999999
2023-02-06 04:00:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-13.34,-11.803710317460316,-40.019999999999996,-35.41113095238095,-40.019999999999996,-7.887499999999999
2023-02-06 04:10:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-14.24,-11.803710317460316,-42.72,-35.41113095238095,-42.72,-7.887499999999999
2023-02-06 04:20:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-12.39,-11.803710317460316,-37.17,-35.41113095238095,-37.17,-7.887499999999999
2023-02-06 04:30:00,720512 - CHARTERHOUSE DRIVE - SOLIHULL,L1 Active Power,-12.94,-11.803710317460316,-38.82,-35.41113095238095,-38.82,-7.887499999999999
