timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2023-02-07 00:00:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.52,2.3161440185830426,4.5600000000000005,5.96514518002323,3.914705044629427,2.81
2023-02-07 00:10:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.48,2.3161440185830426,4.4399999999999995,5.96514518002323,3.811686490823389,2.81
2023-02-07 00:20:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.47,2.3161440185830426,4.41,5.96514518002323,3.78593185237188,2.81
2023-02-07 00:30:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.39,2.3161440185830426,4.17,5.96514518002323,3.5798947447598044,2.81
2023-02-07 00:40:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.34,2.3161440185830426,4.0200000000000005,5.96514518002323,3.451121552502258,2.81
2023-02-07 00:50:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.3,2.3161440185830426,3.9000000000000004,5.96514518002323,3.3481029986962203,2.81
2023-02-07 01:00:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.21,2.3161440185830426,3.63,5.96514518002323,3.1163112526326358,2.81
2023-02-07 01:10:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.22,2.3161440185830426,3.66,5.96514518002323,3.1420658910841452,2.81
2023-02-07 01:20:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.34,2.3161440185830426,4.0200000000000005,5.96514518002323,3.451121552502258,2.81
2023-02-07 01:30:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.35,2.3161440185830426,4.050000000000001,5.96514518002323,3.4768761909537673,2.81
2023-02-07 01:40:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.36,2.3161440185830426,4.08,5.96514518002323,3.502630829405277,2.81
2023-02-07 01:50:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.27,2.3161440185830426,3.81,5.96514518002323,3.2708390833416923,2.81
2023-02-07 02:00:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.26,2.3161440185830426,3.7800000000000002,5.96514518002323,3.2450844448901828,2.81
2023-02-07 02:10:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.26,2.3161440185830426,3.7800000000000002,5.96514518002323,3.2450844448901828,2.81
2023-02-07 02:20:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.28,2.3161440185830426,3.84,5.96514518002323,3.2965937217932013,2.81
2023-02-07 02:30:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.44,2.3161440185830426,4.32,5.96514518002323,3.7086679370173514,2.81
2023-02-07 02:40:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.41,2.3161440185830426,4.2299999999999995,5.96514518002323,3.6314040216628234,2.81
2023-02-07 02:50:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.42,2.3161440185830426,4.26,5.96514518002323,3.657158660114333,2.81
2023-02-07 03:00:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.42,2.3161440185830426,4.26,5.96514518002323,3.657158660114333,2.81
2023-02-07 03:10:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.38,2.3161440185830426,4.14,5.96514518002323,3.554140106308295,2.81
2023-02-07 03:20:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.31,2.3161440185830426,3.93,5.96514518002323,3.37385763714773,2.81
2023-02-07 03:30:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.15,2.3161440185830426,3.4499999999999997,5.96514518002323,2.9617834219235792,2.81
2023-02-07 03:40:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.14,2.3161440185830426,3.42,5.96514518002323,2.9360287834720697,2.81
2023-02-07 03:50:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.21,2.3161440185830426,3.63,5.96514518002323,3.1163112526326358,2.81
2023-02-07 04:00:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.22,2.3161440185830426,3.66,5.96514518002323,3.1420658910841452,2.81
2023-02-07 04:10:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.22,2.3161440185830426,3.66,5.96514518002323,3.1420658910841452,2.81
2023-02-07 04:20:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.12,2.3161440185830426,3.3600000000000003,5.96514518002323,2.8845195065690517,2.81
2023-02-07 04:30:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.16,2.3161440185830426,3.4799999999999995,5.96514518002323,2.9875380603750887,2.81
2023-02-07 04:40:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.16,2.3161440185830426,3.4799999999999995,5.96514518002323,2.9875380603750887,2.81
2023-02-07 04:50:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.27,2.3161440185830426,3.81,5.96514518002323,3.2708390833416923,2.81
2023-02-07 05:00:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.92,2.3161440185830426,5.76,5.96514518002323,4.944890582689802,2.81
2023-02-07 05:10:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.3,2.3161440185830426,3.9000000000000004,5.96514518002323,3.3481029986962203,2.81
2023-02-07 05:20:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.31,2.3161440185830426,3.93,5.96514518002323,3.37385763714773,2.81
2023-02-07 05:30:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.4,2.3161440185830426,4.199999999999999,5.96514518002323,3.605649383211314,2.81
2023-02-07 05:40:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.45,2.3161440185830426,4.35,5.96514518002323,3.734422575468861,2.81
2023-02-07 05:50:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.75,2.3161440185830426,5.25,5.96514518002323,4.507061729014143,2.81
2023-02-07 06:00:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.83,2.3161440185830426,5.49,5.96514518002323,4.713098836626218,2.81
2023-02-07 06:10:00,721032 - Lickey Coppice - Barnt Green,L1 Active Power,1.82,2.3161440185830426,5.46,5.96514518002323,4.687344198174708,2.81
