timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2023-02-06 00:00:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,3.71,2.905854870775348,11.0,7.3731709741550695,9.413568650390484,4.11
2023-02-06 00:10:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,3.94,2.905854870775348,11.0,7.3731709741550695,9.997159159713883,4.11
2023-02-06 00:20:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,2.21,2.905854870775348,6.63,7.3731709741550695,5.607543589585706,4.11
2023-02-06 00:30:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,1.33,2.905854870775348,3.99,7.3731709741550695,3.37467555391357,4.11
2023-02-06 00:40:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,3.45,2.905854870775348,10.350000000000001,7.3731709741550695,8.75385763985099,4.11
2023-02-06 00:50:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,1.34,2.905854870775348,4.0200000000000005,7.3731709741550695,3.4000490543189352,4.11
2023-02-06 01:00:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,1.38,2.905854870775348,4.14,7.3731709741550695,3.5015430559403953,4.11
2023-02-06 01:10:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,1.43,2.905854870775348,4.29,7.3731709741550695,3.6284105579672215,4.11
2023-02-06 01:20:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,1.49,2.905854870775348,4.47,7.3731709741550695,3.780651560399413,4.11
2023-02-06 01:30:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,1.56,2.905854870775348,4.68,7.3731709741550695,3.958266063236969,4.11
2023-02-06 01:40:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,1.57,2.905854870775348,4.71,7.3731709741550695,3.9836395636423343,4.11
2023-02-06 01:50:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,3.84,2.905854870775348,11.0,7.3731709741550695,9.74342415566023,4.11
2023-02-06 02:00:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,3.89,2.905854870775348,11.0,7.3731709741550695,9.870291657687057,4.11
2023-02-06 02:10:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,3.4,2.905854870775348,10.2,7.3731709741550695,8.626990137824164,4.11
2023-02-06 02:20:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,1.5,2.905854870775348,4.5,7.3731709741550695,3.806025060804778,4.11
2023-02-06 02:30:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,1.2,2.905854870775348,3.5999999999999996,7.3731709741550695,3.0448200486438224,4.11
2023-02-06 02:40:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,1.16,2.905854870775348,3.4799999999999995,7.3731709741550695,2.9433260470223614,4.11
2023-02-06 02:50:00,"721372 - Warren Lane, Lickey Square - Barnt Green",L1 Active Power,3.14,2.905854870775348,9.42,7.3731709741550695,7.967279127284669,4.11
