timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2023-02-07 00:00:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.03,-0.05303240740740741,-0.09,-0.17685185185185187,-0.10004364906154518,0.0
2023-02-07 00:10:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.01,-0.05303240740740741,-0.03,-0.17685185185185187,-0.033347883020515064,0.0
2023-02-07 00:20:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.04,-0.05303240740740741,-0.12,-0.17685185185185187,-0.13339153208206025,0.0
2023-02-07 00:30:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.08,-0.05303240740740741,-0.24,-0.17685185185185187,-0.2667830641641205,0.0
2023-02-07 00:40:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.05,-0.05303240740740741,-0.15000000000000002,-0.17685185185185187,-0.1667394151025753,0.0
2023-02-07 00:50:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.05,-0.05303240740740741,-0.15000000000000002,-0.17685185185185187,-0.1667394151025753,0.0
2023-02-07 01:00:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.03,-0.05303240740740741,-0.09,-0.17685185185185187,-0.10004364906154518,0.0
2023-02-07 01:10:00,722466 - Middle Leaford - Stechford,L1 Active Power,0.01,-0.05303240740740741,0.03,-0.17685185185185187,0.033347883020515064,0.0
2023-02-07 01:20:00,722466 - Middle Leaford - Stechford,L1 Active Power,0.04,-0.05303240740740741,0.12,-0.17685185185185187,0.13339153208206025,0.0
2023-02-07 01:30:00,722466 - Middle Leaford - Stechford,L1 Active Power,0.0,-0.05303240740740741,0.0,-0.17685185185185187,0.0,0.0
2023-02-07 01:40:00,722466 - Middle Leaford - Stechford,L1 Active Power,0.03,-0.05303240740740741,0.09,-0.17685185185185187,0.10004364906154518,0.0
2023-02-07 01:50:00,722466 - Middle Leaford - Stechford,L1 Active Power,0.0,-0.05303240740740741,0.0,-0.17685185185185187,0.0,0.0
2023-02-07 02:00:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.01,-0.05303240740740741,-0.03,-0.17685185185185187,-0.033347883020515064,0.0
2023-02-07 02:10:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.03,-0.05303240740740741,-0.09,-0.17685185185185187,-0.10004364906154518,0.0
2023-02-07 02:20:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.04,-0.05303240740740741,-0.12,-0.17685185185185187,-0.13339153208206025,0.0
2023-02-07 02:30:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.03,-0.05303240740740741,-0.09,-0.17685185185185187,-0.10004364906154518,0.0
2023-02-07 02:40:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.06,-0.05303240740740741,-0.18,-0.17685185185185187,-0.20008729812309037,0.0
2023-02-07 02:50:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.02,-0.05303240740740741,-0.06,-0.17685185185185187,-0.06669576604103013,0.0
2023-02-07 03:00:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.01,-0.05303240740740741,-0.03,-0.17685185185185187,-0.033347883020515064,0.0
2023-02-07 03:10:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.04,-0.05303240740740741,-0.12,-0.17685185185185187,-0.13339153208206025,0.0
2023-02-07 03:20:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.1,-0.05303240740740741,-0.30000000000000004,-0.17685185185185187,-0.3334788302051506,0.0
2023-02-07 03:30:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.22,-0.05303240740740741,-0.66,-0.17685185185185187,-0.7336534264513314,0.0
2023-02-07 03:40:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.22,-0.05303240740740741,-0.66,-0.17685185185185187,-0.7336534264513314,0.0
2023-02-07 03:50:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.09,-0.05303240740740741,-0.27,-0.17685185185185187,-0.30013094718463557,0.0
2023-02-07 04:00:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.06,-0.05303240740740741,-0.18,-0.17685185185185187,-0.20008729812309037,0.0
2023-02-07 04:10:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.05,-0.05303240740740741,-0.15000000000000002,-0.17685185185185187,-0.1667394151025753,0.0
2023-02-07 04:20:00,722466 - Middle Leaford - Stechford,L1 Active Power,0.04,-0.05303240740740741,0.12,-0.17685185185185187,0.13339153208206025,0.0
2023-02-07 04:30:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.06,-0.05303240740740741,-0.18,-0.17685185185185187,-0.20008729812309037,0.0
2023-02-07 04:40:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.11,-0.05303240740740741,-0.33,-0.17685185185185187,-0.3668267132256657,0.0
2023-02-07 04:50:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.09,-0.05303240740740741,-0.27,-0.17685185185185187,-0.30013094718463557,0.0
2023-02-07 05:00:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.13,-0.05303240740740741,-0.39,-0.17685185185185187,-0.4335224792666958,0.0
2023-02-07 05:10:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.1,-0.05303240740740741,-0.30000000000000004,-0.17685185185185187,-0.3334788302051506,0.0
2023-02-07 05:20:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.08,-0.05303240740740741,-0.24,-0.17685185185185187,-0.2667830641641205,0.0
2023-02-07 05:30:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.12,-0.05303240740740741,-0.36,-0.17685185185185187,-0.40017459624618074,0.0
2023-02-07 05:40:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.1,-0.05303240740740741,-0.30000000000000004,-0.17685185185185187,-0.3334788302051506,0.0
2023-02-07 05:50:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.09,-0.05303240740740741,-0.27,-0.17685185185185187,-0.30013094718463557,0.0
2023-02-07 06:00:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.14,-0.05303240740740741,-0.42000000000000004,-0.17685185185185187,-0.4668703622872109,0.0
2023-02-07 06:10:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.14,-0.05303240740740741,-0.42000000000000004,-0.17685185185185187,-0.4668703622872109,0.0
2023-02-07 06:20:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.15,-0.05303240740740741,-0.44999999999999996,-0.17685185185185187,-0.5002182453077259,0.0
2023-02-07 06:30:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.13,-0.05303240740740741,-0.39,-0.17685185185185187,-0.4335224792666958,0.0
2023-02-07 06:40:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.06,-0.05303240740740741,-0.18,-0.17685185185185187,-0.20008729812309037,0.0
2023-02-07 06:50:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.1,-0.05303240740740741,-0.30000000000000004,-0.17685185185185187,-0.3334788302051506,0.0
2023-02-07 07:00:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.1,-0.05303240740740741,-0.30000000000000004,-0.17685185185185187,-0.3334788302051506,0.0
2023-02-07 07:10:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.08,-0.05303240740740741,-0.24,-0.17685185185185187,-0.2667830641641205,0.0
2023-02-07 07:20:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.15,-0.05303240740740741,-0.44999999999999996,-0.17685185185185187,-0.5002182453077259,0.0
2023-02-07 07:30:00,722466 - Middle Leaford - Stechford,L1 Active Power,-0.18,-0.05303240740740741,-0.54,-0.17685185185185187,-0.6002618943692711,0.0
