timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2022-12-12 00:00:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.96,3.117708333333333,5.88,8.058045634920635,5.065826484018265,4.2325
2022-12-12 00:10:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,2.78,3.117708333333333,8.34,8.058045634920635,7.185202870189172,4.2325
2022-12-12 00:20:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.95,3.117708333333333,5.85,8.058045634920635,5.039980430528376,4.2325
2022-12-12 00:30:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.67,3.117708333333333,5.01,8.058045634920635,4.316290932811481,4.2325
2022-12-12 00:40:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.42,3.117708333333333,4.26,8.058045634920635,3.6701395955642533,4.2325
2022-12-12 00:50:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.2,3.117708333333333,3.5999999999999996,8.058045634920635,3.101526418786693,4.2325
2022-12-12 01:00:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.16,3.117708333333333,3.4799999999999995,8.058045634920635,2.9981422048271367,4.2325
2022-12-12 01:10:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.14,3.117708333333333,3.42,8.058045634920635,2.9464500978473582,4.2325
2022-12-12 01:20:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.33,3.117708333333333,3.99,8.058045634920635,3.437525114155252,4.2325
2022-12-12 01:30:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.41,3.117708333333333,4.2299999999999995,8.058045634920635,3.6442935420743643,4.2325
2022-12-12 01:40:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.58,3.117708333333333,4.74,8.058045634920635,4.0836764514024795,4.2325
2022-12-12 01:50:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.54,3.117708333333333,4.62,8.058045634920635,3.980292237442923,4.2325
2022-12-12 02:00:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.59,3.117708333333333,4.7700000000000005,8.058045634920635,4.109522504892369,4.2325
2022-12-12 02:10:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.22,3.117708333333333,3.66,8.058045634920635,3.153218525766471,4.2325
2022-12-12 02:20:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.32,3.117708333333333,3.96,8.058045634920635,3.4116790606653624,4.2325
2022-12-12 02:30:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.19,3.117708333333333,3.57,8.058045634920635,3.0756803652968037,4.2325
2022-12-12 02:40:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.06,3.117708333333333,3.18,8.058045634920635,2.739681669928246,4.2325
2022-12-12 02:50:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.25,3.117708333333333,3.75,8.058045634920635,3.2307566862361385,4.2325
2022-12-12 03:00:00,730873 - PRINCESS AVENUE - WALSALL,L1 Active Power,1.22,3.117708333333333,3.66,8.058045634920635,3.153218525766471,4.2325
