timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2023-02-06 00:00:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,3.04,4.786121031746031,9.120000000000001,11.602331349206349,7.369451601335707,5.825
2023-02-06 00:10:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,4.06,4.786121031746031,12.18,11.602331349206349,9.842096546520713,5.825
2023-02-06 00:20:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,2.42,4.786121031746031,7.26,11.602331349206349,5.866471340536977,5.825
2023-02-06 00:30:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,1.57,4.786121031746031,4.71,11.602331349206349,3.8059338862161387,5.825
2023-02-06 00:40:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,2.25,4.786121031746031,6.75,11.602331349206349,5.454363849672809,5.825
2023-02-06 00:50:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,2.26,4.786121031746031,6.779999999999999,11.602331349206349,5.478605466782466,5.825
2023-02-06 01:00:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,1.6,4.786121031746031,4.800000000000001,11.602331349206349,3.878658737545109,5.825
2023-02-06 01:10:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,1.79,4.786121031746031,5.37,11.602331349206349,4.339249462628591,5.825
2023-02-06 01:20:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,2.28,4.786121031746031,6.84,11.602331349206349,5.52708870100178,5.825
2023-02-06 01:30:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,1.74,4.786121031746031,5.22,11.602331349206349,4.218041377080306,5.825
2023-02-06 01:40:00,721747 - Monmouth Road West - Smethwick,Feeder: 1.0 - L1 Active Power,1.47,4.786121031746031,4.41,11.602331349206349,3.563517715119569,5.825
