timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2023-02-06 00:00:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.97,3.2121428571428567,5.91,8.182301587301588,5.018187186519408,4.055
2023-02-06 00:10:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.11,3.2121428571428567,6.33,8.182301587301588,5.374809626170534,4.055
2023-02-06 00:20:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.78,3.2121428571428567,5.34,8.182301587301588,4.534199589850024,4.055
2023-02-06 00:30:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.66,3.2121428571428567,7.98,8.182301587301588,6.775826353371385,4.055
2023-02-06 00:40:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.18,3.2121428571428567,6.540000000000001,8.182301587301588,5.553120845996097,4.055
2023-02-06 00:50:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.03,3.2121428571428567,6.09,8.182301587301588,5.171025374941319,4.055
2023-02-06 01:00:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.62,3.2121428571428567,4.86,8.182301587301588,4.126631087391595,4.055
2023-02-06 01:10:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.63,3.2121428571428567,4.89,8.182301587301588,4.152104118795246,4.055
2023-02-06 01:20:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.79,3.2121428571428567,5.37,8.182301587301588,4.559672621253676,4.055
2023-02-06 01:30:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.77,3.2121428571428567,5.3100000000000005,8.182301587301588,4.508726558446372,4.055
2023-02-06 01:40:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.55,3.2121428571428567,4.65,8.182301587301588,3.948319867566032,4.055
2023-02-06 01:50:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.41,3.2121428571428567,4.2299999999999995,8.182301587301588,3.5916974279149065,4.055
2023-02-06 02:00:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.64,3.2121428571428567,4.92,8.182301587301588,4.177577150198898,4.055
2023-02-06 02:10:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.63,3.2121428571428567,4.89,8.182301587301588,4.152104118795246,4.055
2023-02-06 02:20:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.76,3.2121428571428567,5.28,8.182301587301588,4.48325352704272,4.055
2023-02-06 02:30:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.7,3.2121428571428567,5.1,8.182301587301588,4.330415338620809,4.055
2023-02-06 02:40:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.75,3.2121428571428567,5.25,8.182301587301588,4.457780495639069,4.055
2023-02-06 02:50:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.7,3.2121428571428567,5.1,8.182301587301588,4.330415338620809,4.055
2023-02-06 03:00:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.87,3.2121428571428567,5.61,8.182301587301588,4.763456872482891,4.055
2023-02-06 03:10:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.49,3.2121428571428567,4.47,8.182301587301588,3.795481679144121,4.055
2023-02-06 03:20:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.65,3.2121428571428567,4.949999999999999,8.182301587301588,4.20305018160255,4.055
2023-02-06 03:30:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.51,3.2121428571428567,4.53,8.182301587301588,3.846427741951425,4.055
2023-02-06 03:40:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.68,3.2121428571428567,5.04,8.182301587301588,4.279469275813506,4.055
2023-02-06 03:50:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.7,3.2121428571428567,5.1,8.182301587301588,4.330415338620809,4.055
2023-02-06 04:00:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.56,3.2121428571428567,4.68,8.182301587301588,3.973792898969684,4.055
2023-02-06 04:10:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.47,3.2121428571428567,4.41,8.182301587301588,3.7445356163368175,4.055
2023-02-06 04:20:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.57,3.2121428571428567,4.71,8.182301587301588,3.999265930373336,4.055
2023-02-06 04:30:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.59,3.2121428571428567,4.7700000000000005,8.182301587301588,4.05021199318064,4.055
2023-02-06 04:40:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.66,3.2121428571428567,4.9799999999999995,8.182301587301588,4.228523213006202,4.055
2023-02-06 04:50:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.68,3.2121428571428567,5.04,8.182301587301588,4.279469275813506,4.055
2023-02-06 05:00:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.7,3.2121428571428567,5.1,8.182301587301588,4.330415338620809,4.055
2023-02-06 05:10:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.62,3.2121428571428567,4.86,8.182301587301588,4.126631087391595,4.055
2023-02-06 05:20:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.76,3.2121428571428567,8.28,8.182301587301588,7.030556667407902,4.055
2023-02-06 05:30:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.74,3.2121428571428567,5.22,8.182301587301588,4.432307464235417,4.055
2023-02-06 05:40:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.93,3.2121428571428567,5.79,8.182301587301588,4.916295060904801,4.055
2023-02-06 05:50:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.77,3.2121428571428567,5.3100000000000005,8.182301587301588,4.508726558446372,4.055
2023-02-06 06:00:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.62,3.2121428571428567,7.86,8.182301587301588,6.673934227756777,4.055
2023-02-06 06:10:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.86,3.2121428571428567,5.58,8.182301587301588,4.737983841079239,4.055
2023-02-06 06:20:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.66,3.2121428571428567,4.9799999999999995,8.182301587301588,4.228523213006202,4.055
2023-02-06 06:30:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.01,3.2121428571428567,6.029999999999999,8.182301587301588,5.120079312134015,4.055
2023-02-06 06:40:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.17,3.2121428571428567,6.51,8.182301587301588,5.527647814592445,4.055
2023-02-06 06:50:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.61,3.2121428571428567,4.83,8.182301587301588,4.101158055987943,4.055
2023-02-06 07:00:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.05,3.2121428571428567,6.1499999999999995,8.182301587301588,5.221971437748623,4.055
2023-02-06 07:10:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,3.5,3.2121428571428567,10.5,8.182301587301588,8.915560991278138,4.055
2023-02-06 07:20:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,3.05,3.2121428571428567,9.149999999999999,8.182301587301588,7.769274578113805,4.055
2023-02-06 07:30:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,1.91,3.2121428571428567,5.7299999999999995,8.182301587301588,4.865348998097497,4.055
2023-02-06 07:40:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,3.16,3.2121428571428567,9.48,8.182301587301588,8.049477923553976,4.055
2023-02-06 07:50:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.77,3.2121428571428567,8.31,8.182301587301588,7.056029698811554,4.055
2023-02-06 08:00:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.5,3.2121428571428567,7.5,8.182301587301588,6.368257850912955,4.055
2023-02-06 08:10:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.0,3.2121428571428567,6.0,8.182301587301588,5.094606280730364,4.055
2023-02-06 08:20:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,4.09,3.2121428571428567,11.06,8.182301587301588,10.418469844093593,4.055
2023-02-06 08:30:00,722039 - BANNERS GATE ROAD - NEW OSCOTT 411E,Feeder: 1.0 - L1 Active Power,2.26,3.2121428571428567,6.779999999999999,8.182301587301588,5.756905097225311,4.055
