timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2022-12-12 00:00:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,7.92,17.601071428571426,23.759999999999998,33.77497023809524,15.197811415701159,22.275
2022-12-12 00:10:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,8.48,17.601071428571426,25.44,33.77497023809524,16.27240414206387,22.275
2022-12-12 00:20:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,8.86,17.601071428571426,26.58,33.77497023809524,17.001592063524274,22.275
2022-12-12 00:30:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,8.65,17.601071428571426,25.950000000000003,33.77497023809524,16.598619791138262,22.275
2022-12-12 00:40:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,10.05,17.601071428571426,30.150000000000002,33.77497023809524,19.285101607045032,22.275
2022-12-12 00:50:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,12.21,17.601071428571426,35.61,33.77497023809524,23.429959265872622,22.275
2022-12-12 01:00:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,9.48,17.601071428571426,28.44,33.77497023809524,18.19131972485442,22.275
2022-12-12 01:10:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,9.05,17.601071428571426,27.150000000000002,33.77497023809524,17.366186024254482,22.275
2022-12-12 01:20:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,8.98,17.601071428571426,26.94,33.77497023809524,17.231861933459143,22.275
2022-12-12 01:30:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,10.61,17.601071428571426,31.83,33.77497023809524,20.359694333407738,22.275
2022-12-12 01:40:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,9.1,17.601071428571426,27.299999999999997,33.77497023809524,17.46213180339401,22.275
2022-12-12 01:50:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,9.74,17.601071428571426,29.22,33.77497023809524,18.690237776379963,22.275
2022-12-12 02:00:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,11.09,17.601071428571426,33.269999999999996,33.77497023809524,21.280773813147203,22.275
2022-12-12 02:10:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,10.91,17.601071428571426,32.730000000000004,33.77497023809524,20.935369008244905,22.275
2022-12-12 02:20:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,10.57,17.601071428571426,31.71,33.77497023809524,20.282937710096117,22.275
2022-12-12 02:30:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,9.49,17.601071428571426,28.47,33.77497023809524,18.210508880682323,22.275
2022-12-12 02:40:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,9.83,17.601071428571426,29.490000000000002,33.77497023809524,18.86294017883111,22.275
2022-12-12 02:50:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,10.59,17.601071428571426,31.77,33.77497023809524,20.32131602175193,22.275
2022-12-12 03:00:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,9.2,17.601071428571426,27.599999999999998,33.77497023809524,17.65402336167306,22.275
2022-12-12 03:10:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,10.82,17.601071428571426,32.46,33.77497023809524,20.762666605793758,22.275
2022-12-12 03:20:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,9.15,17.601071428571426,27.450000000000003,33.77497023809524,17.55807758253354,22.275
2022-12-12 03:30:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,9.71,17.601071428571426,29.130000000000003,33.77497023809524,18.632670308896245,22.275
2022-12-12 03:40:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,10.42,17.601071428571426,31.259999999999998,33.77497023809524,19.995100372677534,22.275
2022-12-12 03:50:00,724128 - NURSERY ROAD - HARBORNE,Feeder: 1.0 - L1 Active Power,10.3,17.601071428571426,30.900000000000002,33.77497023809524,19.764830502742672,22.275
