timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2022-12-12 00:00:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,17.1,27.766369047619047,49.94,49.90406746031747,30.733566643442852,33.59
2022-12-12 00:10:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,17.02,27.766369047619047,49.94,49.90406746031747,30.58978387552031,33.59
2022-12-12 00:20:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,17.28,27.766369047619047,49.94,49.90406746031747,31.057077871268568,33.59
2022-12-12 00:30:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,18.45,27.766369047619047,49.94,49.90406746031747,33.159900852135706,33.59
2022-12-12 00:40:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,17.01,27.766369047619047,49.94,49.90406746031747,30.571811029529997,33.59
2022-12-12 00:50:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,17.82,27.766369047619047,49.94,49.90406746031747,32.02761155474571,33.59
2022-12-12 01:00:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,17.15,27.766369047619047,49.94,49.90406746031747,30.823430873394436,33.59
2022-12-12 01:10:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,17.43,27.766369047619047,49.94,49.90406746031747,31.326670561123326,33.59
2022-12-12 01:20:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,20.4,27.766369047619047,49.94,49.90406746031747,36.66460582024761,33.59
2022-12-12 01:30:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,18.34,27.766369047619047,49.94,49.90406746031747,32.96219954624222,33.59
2022-12-12 01:40:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,18.78,27.766369047619047,49.94,49.90406746031747,33.75300476981619,33.59
2022-12-12 01:50:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,18.25,27.766369047619047,49.94,49.90406746031747,32.80044393232936,33.59
2022-12-12 02:00:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,18.5,27.766369047619047,49.94,49.90406746031747,33.24976508208729,33.59
2022-12-12 02:10:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,17.13,27.766369047619047,49.94,49.90406746031747,30.7874851814138,33.59
2022-12-12 02:20:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,17.33,27.766369047619047,49.94,49.90406746031747,31.146942101220148,33.59
2022-12-12 02:30:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,18.26,27.766369047619047,49.94,49.90406746031747,32.81841677831968,33.59
2022-12-12 02:40:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,18.47,27.766369047619047,49.94,49.90406746031747,33.19584654411634,33.59
2022-12-12 02:50:00,724700 - MEADOW ROAD - EDGBASTON,Feeder: 1.0 - L1 Active Power,20.56,27.766369047619047,49.94,49.90406746031747,36.95217135609269,33.59
