timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2022-12-12 00:00:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,18.73,18.017341269841275,46.93,42.10480158730158,43.77021681052423,22.5425
2022-12-12 00:10:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,17.21,18.017341269841275,46.93,42.10480158730158,40.21812233364239,22.5425
2022-12-12 00:20:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,18.18,18.017341269841275,46.93,42.10480158730158,42.48491946691567,22.5425
2022-12-12 00:30:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,13.75,18.017341269841275,41.25,42.10480158730158,32.132433590214,22.5425
2022-12-12 00:40:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,13.87,18.017341269841275,41.61,42.10480158730158,32.41286210154677,22.5425
2022-12-12 00:50:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,15.64,18.017341269841275,46.92,42.10480158730158,36.54918264370523,22.5425
2022-12-12 01:00:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,13.19,18.017341269841275,39.57,42.10480158730158,30.82376720399437,22.5425
2022-12-12 01:10:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,11.54,18.017341269841275,34.62,42.10480158730158,26.96787517316869,22.5425
2022-12-12 01:20:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,13.48,18.017341269841275,40.44,42.10480158730158,31.50146943971525,22.5425
2022-12-12 01:30:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,10.72,18.017341269841275,32.160000000000004,42.10480158730158,25.051613679061386,22.5425
2022-12-12 01:40:00,724814 - GILLHURST ROAD -,Feeder: 1.0 - L1 Active Power,13.05,18.017341269841275,39.150000000000006,42.10480158730158,30.49660060743947,22.5425
