timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2022-12-12 00:00:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,7.09,14.12049603174603,21.27,32.19514880952381,16.165409808999357,17.79
2022-12-12 00:10:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,7.28,14.12049603174603,21.84,32.19514880952381,16.598615431525435,17.79
2022-12-12 00:20:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.99,14.12049603174603,20.97,32.19514880952381,15.937406849775108,17.79
2022-12-12 00:30:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.46,14.12049603174603,19.38,32.19514880952381,14.72899116588658,17.79
2022-12-12 00:40:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.72,14.12049603174603,20.16,32.19514880952381,15.32179885986963,17.79
2022-12-12 00:50:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.98,14.12049603174603,20.94,32.19514880952381,15.914606553852684,17.79
2022-12-12 01:00:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,7.42,14.12049603174603,22.259999999999998,32.19514880952381,16.917819574439385,17.79
2022-12-12 01:10:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.7,14.12049603174603,20.1,32.19514880952381,15.276198268024782,17.79
2022-12-12 01:20:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.85,14.12049603174603,20.549999999999997,32.19514880952381,15.618202706861156,17.79
2022-12-12 01:30:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.54,14.12049603174603,19.62,32.19514880952381,14.911393533265981,17.79
2022-12-12 01:40:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.77,14.12049603174603,20.31,32.19514880952381,15.435800339481755,17.79
2022-12-12 01:50:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.65,14.12049603174603,19.950000000000003,32.19514880952381,15.162196788412658,17.79
2022-12-12 02:00:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.57,14.12049603174603,19.71,32.19514880952381,14.979794421033256,17.79
2022-12-12 02:10:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.41,14.12049603174603,19.23,32.19514880952381,14.614989686274455,17.79
2022-12-12 02:20:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.02,14.12049603174603,18.06,32.19514880952381,13.725778145299877,17.79
2022-12-12 02:30:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.0,14.12049603174603,18.0,32.19514880952381,13.680177553455028,17.79
2022-12-12 02:40:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.78,14.12049603174603,20.34,32.19514880952381,15.458600635404181,17.79
2022-12-12 02:50:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.67,14.12049603174603,20.009999999999998,32.19514880952381,15.207797380257507,17.79
2022-12-12 03:00:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.55,14.12049603174603,19.65,32.19514880952381,14.934193829188406,17.79
2022-12-12 03:10:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.34,14.12049603174603,19.02,32.19514880952381,14.455387614817479,17.79
2022-12-12 03:20:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.25,14.12049603174603,18.75,32.19514880952381,14.250184951515655,17.79
2022-12-12 03:30:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.25,14.12049603174603,18.75,32.19514880952381,14.250184951515655,17.79
2022-12-12 03:40:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.07,14.12049603174603,18.21,32.19514880952381,13.839779624912005,17.79
2022-12-12 03:50:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.47,14.12049603174603,19.41,32.19514880952381,14.751791461809004,17.79
2022-12-12 04:00:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,7.96,14.12049603174603,23.88,32.19514880952381,18.149035554250336,17.79
2022-12-12 04:10:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.71,14.12049603174603,20.13,32.19514880952381,15.298998563947206,17.79
2022-12-12 04:20:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.54,14.12049603174603,19.62,32.19514880952381,14.911393533265981,17.79
2022-12-12 04:30:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.92,14.12049603174603,20.759999999999998,32.19514880952381,15.777804778318131,17.79
2022-12-12 04:40:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.4,14.12049603174603,19.200000000000003,32.19514880952381,14.592189390352031,17.79
2022-12-12 04:50:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.58,14.12049603174603,19.740000000000002,32.19514880952381,15.00259471695568,17.79
2022-12-12 05:00:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.62,14.12049603174603,19.86,32.19514880952381,15.09379590064538,17.79
2022-12-12 05:10:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.95,14.12049603174603,20.85,32.19514880952381,15.846205666085408,17.79
2022-12-12 05:20:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.61,14.12049603174603,19.830000000000002,32.19514880952381,15.070995604722956,17.79
2022-12-12 05:30:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,6.39,14.12049603174603,19.169999999999998,32.19514880952381,14.569389094429605,17.79
2022-12-12 05:40:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,8.22,14.12049603174603,24.660000000000004,32.19514880952381,18.74184324823339,17.79
2022-12-12 05:50:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,7.94,14.12049603174603,23.82,32.19514880952381,18.103434962405487,17.79
2022-12-12 06:00:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,11.53,14.12049603174603,34.589999999999996,32.19514880952381,26.288741198556078,17.79
2022-12-12 06:10:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,24.39,14.12049603174603,36.01,32.19514880952381,55.60992175479469,17.79
2022-12-12 06:20:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,15.16,14.12049603174603,36.01,32.19514880952381,34.565248618396375,17.79
2022-12-12 06:30:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,12.21,14.12049603174603,36.01,32.19514880952381,27.839161321280983,17.79
2022-12-12 06:40:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,10.74,14.12049603174603,32.22,32.19514880952381,24.487517820684502,17.79
2022-12-12 06:50:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,10.05,14.12049603174603,30.150000000000002,32.19514880952381,22.914297402037175,17.79
2022-12-12 07:00:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,11.18,14.12049603174603,33.54,32.19514880952381,25.4907308412712,17.79
2022-12-12 07:10:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,11.11,14.12049603174603,33.33,32.19514880952381,25.331128769814224,17.79
2022-12-12 07:20:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,11.34,14.12049603174603,34.019999999999996,32.19514880952381,25.855535576030004,17.79
2022-12-12 07:30:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,14.16,14.12049603174603,36.01,32.19514880952381,32.28521902615387,17.79
2022-12-12 07:40:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,12.0,14.12049603174603,36.0,32.19514880952381,27.360355106910056,17.79
2022-12-12 07:50:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,11.27,14.12049603174603,33.81,32.19514880952381,25.695933504573027,17.79
2022-12-12 08:00:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,13.6,14.12049603174603,36.01,32.19514880952381,31.008402454498064,17.79
2022-12-12 08:10:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,11.51,14.12049603174603,34.53,32.19514880952381,26.24314060671123,17.79
2022-12-12 08:20:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,11.38,14.12049603174603,34.14,32.19514880952381,25.946736759719705,17.79
2022-12-12 08:30:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,10.28,14.12049603174603,30.839999999999996,32.19514880952381,23.438704208252947,17.79
2022-12-12 08:40:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,11.68,14.12049603174603,35.04,32.19514880952381,26.630745637392454,17.79
2022-12-12 08:50:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,9.53,14.12049603174603,28.589999999999996,32.19514880952381,21.72868201407107,17.79
2022-12-12 09:00:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,12.95,14.12049603174603,36.01,32.19514880952381,29.526383219540435,17.79
2022-12-12 09:10:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,13.06,14.12049603174603,36.01,32.19514880952381,29.777186474687113,17.79
2022-12-12 09:20:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,17.44,14.12049603174603,36.01,32.19514880952381,39.76371608870929,17.79
2022-12-12 09:30:00,730238 - CAVENDISH DRIVE - WEST HAGLEY,Feeder: 2.0 - L1 Active Power,16.62,14.12049603174603,36.01,32.19514880952381,37.89409182307043,17.79
