timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2022-12-12 00:00:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 00:10:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 00:20:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 00:30:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 00:40:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 00:50:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 01:00:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 01:10:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 01:20:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 01:30:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 01:40:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.02,-0.060595238095238105,-0.06,-0.1817857142857143,-0.05999999999999999,-0.04
2022-12-12 01:50:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 02:00:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 02:10:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 02:20:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 02:30:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 02:40:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 02:50:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 03:00:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 03:10:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 03:20:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 03:30:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 03:40:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 03:50:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 04:00:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 04:10:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 04:20:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 04:30:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 04:40:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 04:50:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 05:00:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 05:10:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 05:20:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 05:30:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 05:40:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 05:50:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 06:00:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.03,-0.060595238095238105,-0.09,-0.1817857142857143,-0.08999999999999998,-0.04
2022-12-12 06:10:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.02,-0.060595238095238105,-0.06,-0.1817857142857143,-0.05999999999999999,-0.04
2022-12-12 06:20:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 06:30:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 06:40:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.06,-0.060595238095238105,-0.18,-0.1817857142857143,-0.17999999999999997,-0.04
2022-12-12 06:50:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.05,-0.060595238095238105,-0.15000000000000002,-0.1817857142857143,-0.15,-0.04
2022-12-12 07:00:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.05,-0.060595238095238105,-0.15000000000000002,-0.1817857142857143,-0.15,-0.04
2022-12-12 07:10:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.06,-0.060595238095238105,-0.18,-0.1817857142857143,-0.17999999999999997,-0.04
2022-12-12 07:20:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.05,-0.060595238095238105,-0.15000000000000002,-0.1817857142857143,-0.15,-0.04
2022-12-12 07:30:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.05,-0.060595238095238105,-0.15000000000000002,-0.1817857142857143,-0.15,-0.04
2022-12-12 07:40:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.05,-0.060595238095238105,-0.15000000000000002,-0.1817857142857143,-0.15,-0.04
2022-12-12 07:50:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.06,-0.060595238095238105,-0.18,-0.1817857142857143,-0.17999999999999997,-0.04
2022-12-12 08:00:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.07,-0.060595238095238105,-0.21000000000000002,-0.1817857142857143,-0.21,-0.04
2022-12-12 08:10:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.05,-0.060595238095238105,-0.15000000000000002,-0.1817857142857143,-0.15,-0.04
2022-12-12 08:20:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.06,-0.060595238095238105,-0.18,-0.1817857142857143,-0.17999999999999997,-0.04
2022-12-12 08:30:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.05,-0.060595238095238105,-0.15000000000000002,-0.1817857142857143,-0.15,-0.04
2022-12-12 08:40:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.04,-0.060595238095238105,-0.12,-0.1817857142857143,-0.11999999999999998,-0.04
2022-12-12 08:50:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.07,-0.060595238095238105,-0.21000000000000002,-0.1817857142857143,-0.21,-0.04
2022-12-12 09:00:00,730719 - MELLISH ROAD - WALSALL,Feeder: 2.0 - L1 Active Power,-0.05,-0.060595238095238105,-0.15000000000000002,-0.1817857142857143,-0.15,-0.04
